#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,預估時數,notes,,
1-1 1996 Biohazard,,,,,,,,
7,a07單扇-門拉把手,,3,⚠️,2,需研究有沒有細的豎把,,
8,a08輕軌-電車門,1-2 a09,,,2,與 1-2 a09 類似，動畫有一點不一樣,,
9,a09單門-凹形把手,,10,❌,0,建立模型成本過高,,
10,a10單門-門栓鎖,,10,❌,0,建立模型成本過高,,
11,a11單門-豎斜把手,1-2 a12,,❌,0,,https://sketchfab.com/3d-models/sliding-bolt-door-latch-with-knob-9c276f47f71444b081d2b237a873d1ac,
12,a12單門-旋轉把手,1-2 a11,,❌,0,,,
,,,,,,,,
,,,,,,,,
1-3 1999 Biohazard 3,,,,,,,,
#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,,,,
1,b01雙門-圓環把手,,5,⚠️,6,"要有鐵門的貼圖
圓環同 1-3 a04 ，模型需要另外購買",,
2,b02雙門-垂直把手,1-1 b08,,,2,"需要找到對應的豎把
門的兩側都有把手",,
3,b03雙門-喇叭鎖,1-1 b03,,,0,重複不計算,,
4,b04雙門-大把手,,5,❌,0,結構不複雜，但是要在把手上渲染對應的陳舊文理比較難，否則門板跟把手會有落差,,
5,b05雙門-門栓鎖,,10,❌,0,建立模型成本過高,,
6,b06雙自動門,1-2 b07,,❌,0,目前沒有找到鋸齒（左右）電梯門版的模型,,
7,b07雙門-斜把手,"a11,1-3 a05",,⚠️,0,門把周圍有凹槽，可能沒辦法做到完全相同,,
8,b08雙門-灣把手 (X門),1-1 b03,,,1,把手有鏽蝕感，無法做到完全相同,,
9,c01階梯,1-1 c01,,,0,重複不計算,,
10,c02直梯,1-1 c02,,,0,重複不計算,,
11,c03升降梯,1-1 c03,,❌,0,模型建立成本過高,,
12,c04醫院電梯,,5,,6,做得到，但花時間寫出模型+產貼圖,,
13,c05緊急逃生電梯,,9,❌,0,模型建立成本過高,,
14,c06鑽洞,,5,,0,模型建立成本過高（除非能找到現成模型）,,
,,,,,,,,
,,,,,,,,
1-4 2000 Biohazard Gun Survivor,,,,,,,,
#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,,,,
1,a01單門-喇叭鎖,1-1 a02,,,0,重複不計算，但有很多門版要進一步確認，目前已知鐵柵欄(a01-s1)做不到,,
2,a02單門-拉門,1-1 a04,,,2,"a02-s2, a02-s3,a02-s7, a02-s8 做得到，其他因為有造型的關係所以做不到",,
3,a03單門-手動拉門,,1,,3,雖然是鐵欄杆但因為是平滑移動所以只要用 png 就能做到很像，不過需要研究怎麼產 png,,
4,a04單門-自動門,1-2 a10,,,0,重複不計算,,
5,a05單門-橫門把,1-2 a04,,,0,重複暫不計算,,
6,b01雙門-拉門,1-1 b08,,,0,重複暫不計算,,
7,b02雙門-自動門,1-1 b07,,,0,重複暫不計算,,
8,c01階梯,1-1 c01,,,0,重複暫不計算,,
9,c02直梯,1-1 c02,,,0,重複暫不計算,,
10,c03電梯門,,5,❌,0,模型建立成本過高,,
11,c04纜車門,1-2 b05,,⚠️,1,單門滑動的部分可以，纜車內部無法,,
12,c05大電梯,,5,❌,0,模型建立成本過高,,
13,c07電車門,c04,,,0,重複暫不計算,,
14,c08繩索,,1,⚠️,3,不確定視角怎麼設定,,
,,,,,,,,
,,,,,,,,
1-5 2000 Biohazard Code Veronica,,,,,,,,
#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,,,,
1,a01單門-橫把手,1-2 a04,,,0,重複暫不計算,,
2,a02單門-推拉門,,7,,0,應該跟 1-1 a03 重複,,
3,a03單門-喇叭鎖,1-1 a02,,,0,重複暫不計算,,
4,a04單門-圓環拉門,,7,❌,0,要有柵欄門 & 圓環的模型，否則製作難度高,,
5,a05單門-自動門,1-2 a10,,,0,重複暫不計算,,
6,a06單門-鐵門,,5,⚠️,5,用貼圖的方式應該可以做到很像（即使沒有模型），但要研究,,
7,a07單門-拉門,,5,❌,0,模型建立成本過高,,
8,a08單門-電梯門,1-2 a02,,,0,重複暫不計算,,
9,b01雙門-大鐵門,,7,❌,0,模型建立成本過高,,
10,b02雙門-豎把手,,7,⚠️,5,b02-s5銀灰鐵門斜把手比較難做到，其他的可以用其他把手代替,,
11,b03雙門-喇叭鎖,a03,,⚠️,0,雙門有的只開單善門 有的開雙扇 不太確定要怎麼處理,,
12,b04雙門-單拉門,,5,❌,0,模型建立成本過高,,
13,b05雙門-電梯門,1-2 b06,,,0,,,
14,b06雙門-自動門,b05,,,0,重複暫不計算,,
,,,,,,,,
,,,,,,,,
1-5 2000 Biohazard Code Veronica（續 1）,,,,,,,,
#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,,,,
1,c01階梯,1-1 c01,,⚠️,5,石頭階梯跟前面木頭階梯的材質/角度不一樣，需要調查有沒有模型,,
2,c02直梯,1-1 c02,,,0,重複暫不計算,,
3,c03鐵捲門,,1,,3,,,
4,c04電梯拉門,1-1 b06,,⚠️,8,模型成本過高（電梯拉門）有模型但需研究有無法用程式操控開關,,
5,c05旋轉石門,,10,❌,0,動畫本身不複雜，但是模型成本過高,,
6,c06飛機艙門,,9,❌,0,模型成本過高,,
7,c07貨梯門,,5,❌,0,模型成本過高,,
8,c08駕駛艙門,,5,❌,0,模型成本過高,,
9,c09升降梯,,7,❌,0,模型成本過高,,
,,,,,130,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,⚠️ 有實作風險，或可做但是需要研究,,,,,,,
,❓有疑問,,,,,,,
,❌在合理時限內沒辦法做或成本過高不推薦,,,,,,,
,$ 已知需要花費購買模型,,,,,,,
